id,name,office_code,district,district_office,road_addr,founding,is_branch,lat,lng,level,is_active,source
B000004003,성서초등학교,7530000,용인시,경기도용인교육지원청,경기도 용인시 수지구 성복2로 210,공립,false,37.32017186,127.0650769,elem,true,data.go.kr
B000004485,성석초등학교,7530000,고양시,경기도고양교육지원청,경기도 고양시 일산동구 문봉길 110,공립,false,37.70737883,126.8123741,elem,true,data.go.kr
B000003707,성수초등학교,7530000,성남시,경기도성남교육지원청,경기도 성남시 수정구 모란로 11,공립,false,37.43376609,127.1272377,elem,true,data.go.kr
B000004536,성신초등학교,7530000,고양시,경기도고양교육지원청,경기도 고양시 덕양구 성신로 104,공립,false,37.62663419,126.839920,elem,true,data.go.kr
B000003930,성안초등학교,7530000,안산시,경기도안산교육지원청,경기도 안산시 상록구 삼리로 119,공립,false,37.30482509,126.8538634,elem,true,data.go.kr
B000004512,성저초등학교,7530000,고양시,경기도고양교육지원청,경기도 고양시 일산서구 성저로 92,공립,false,37.68474502,126.7573647,elem,true,data.go.kr
B000003834,성주초등학교,7530000,부천시,경기도부천교육지원청,경기도 부천시 소사구 성주로 118,공립,false,37.47845899,126.7696295,elem,true,data.go.kr
B000003941,성지초등학교,7530000,용인시,경기도용인교육지원청,경기도 용인시 기흥구 강남서로 38,공립,false,37.27496793,127.1286049,elem,true,data.go.kr
B000003922,성포초등학교,7530000,안산시,경기도안산교육지원청,경기도 안산시 상록구 안산천동로 90,공립,false,37.32434569,126.8426789,elem,true,data.go.kr
B000004236,성호초등학교,7530000,오산시,경기도화성오산교육지원청,경기도 오산시 성호새싹길 8,공립,false,37.15047668,127.0709442,elem,true,data.go.kr
B000003653,세곡초등학교,7530000,수원시,경기도수원교육지원청,경기도 수원시 권선구 세권로207번길 32,공립,false,37.25629813,127.0283401,elem,true,data.go.kr
B000004119,세교초등학교,7530000,평택시,경기도평택교육지원청,경기도 평택시 세교공원로 32,공립,false,37.00212071,127.0831756,elem,true,data.go.kr
B000023997,세담초등학교,7530000,오산시,경기도화성오산교육지원청,경기도 오산시 죽담2로 8,공립,false,37.16466234,127.0490836,elem,true,data.go.kr
